Bundesland;BLZ;Name;Adresse ;PLZ;Ort;FN;Info;coordinates;Latitude;Longitude
STMK;38210;Raiffeisenbank Lieboch-Stainz eGen;Grazer Straße 7;8510;Stainz;52533f;;(46.8947476, 15.264606);46.8947476;15.264606
STMK;38215;Raiffeisenbank Liezen-Rottenmann-Trieben eGen;Hauptplatz 11;8940;Liezen;85758s;;(47.5668525, 14.2410873);47.5668525;14.2410873
STMK;38227;Raiffeisenbank Liesingtal-St. Stefan eGen ;Hauptstraße 18;8774;Mautern/Stmk.;83488b;;(47.3996626, 14.8264034);47.3996626;14.8264034
STMK;38238;Raiffeisenbank Murau eGen;Bundesstraße 5;8850;Murau;85650g;;(47.1118747, 14.1803918);47.1118747;14.1803918
STMK;38249;Raiffeisenbank Steirisches Salzkammergut-Öblarn eGen;Bad Mitterndorf 13a;8983;Bad Mitterndorf;55977w;;(47.5547456, 13.9321851);47.5547456;13.9321851
STMK;38252;Raiffeisenbank Nestelbach-Eggersdorf eGen;Schemerlhöhe 71;8302;Nestelbach;38241m;;(47.0578106, 15.6000212);47.0578106;15.6000212
STMK;38282;Raiffeisenbank Passail eGen;Markt 15;8162;Passail;69221x;;(47.28220708, 15.5144729);47.28220708;15.5144729
STMK;38285;Raiffeisenbank Pischelsdorf-Stubenberg eGen;Hauptplatz 26;8212;Pischelsdf/Stmk;67618p;;(48.3049761, 14.2874385);48.3049761;14.2874385
STMK;38312;Raiffeisenbank Bad Radkersburg-Klöch eGen;Halbenrainer Straße 2;8490;Bad Radkersburg;60353f;;(46.6916225, 15.9874038);46.6916225;15.9874038
STMK;38346;Raiffeisenbank Aichfeld eGen;Kärntner Straße 2;8720;Knittelfeld;56745z;;(47.2146729, 14.8257129);47.2146729;14.8257129
STMK;38347;Raiffeisenbank Turnau-St. Lorenzen eGen;Hauptstraße 21;8641;St. Marein im Mürztal;79781a;;(47.4745449, 15.3710981);47.4745449;15.3710981
STMK;38367;Raiffeisenbank Graz-St. Peter eGen;St.Peter-Hauptstraße 55;8042;Graz-St.Peter;59147g;;(47.0572574, 15.4718512);47.0572574;15.4718512
STMK;38368;Raiffeisenbank Zirbenland eGen;Hauptplatz 12;8750;Judenburg;77960y;;(47.168466, 14.6613892);47.168466;14.6613892
STMK;38370;Raiffeisenbank Mureck eGen;Hauptplatz 8;8480;Mureck;54019s;;(46.7071276, 15.7724386);46.7071276;15.7724386
STMK;38374;Raiffeisenbank St. Stefan-Jagerberg-Wolfsberg eGen;Murecker Straße 23;8083;St.Stefan i.R.;57965v;;(46.9025621, 15.712006);46.9025621;15.712006
STMK;38377;Raiffeisenbank Region Graz Nord eGen;Grazer Straße 62;8045;Graz-Andritz;67302z;;(47.1030746, 15.4213349);47.1030746;15.4213349
STMK;38402;Raiffeisenbank Neumarkt-Oberwölz eGen;Hauptplatz 47;8820;Neumarkt/Stmk.;53595t;;(47.0720369, 14.4261349);47.0720369;14.4261349
STMK;38403;Raiffeisenbank Region Hartberg eGen;Wiesengasse 2;8230;Hartberg;56549k;;(47.2811205, 15.9732933);47.2811205;15.9732933
STMK;38420;Raiffeisenbank Straß-Spielfeld eGen;Hauptstraße 59;8472;Straß/Stmk.;66776a;;(46.7278707, 15.6229146);46.7278707;15.6229146
STMK;38433;Raiffeisenbank Stallhofen eGen;Raiffeisenplatz 1;8152;Stallhofen;67603t;;(47.049445, 15.2200782);47.049445;15.2200782
STMK;38436;Raiffeisenbank Straden eGen;Raiffeisengasse 75;8345;Straden;56655t;;(46.808083, 15.869461);46.808083;15.869461
STMK;38439;Raiffeisenbank Graz-Straßgang eGen;Kärntner Straße 394;8054;Graz/Straßgang;53593p;;(47.0245949, 15.4001028);47.0245949;15.4001028
